Fecha,CCR,CGQ,CRM.A,DOM,EFE,ENV,FNC,GMC.B,GZL,ICP.B,IVC.A,IVC.B,MPA,MTC.B,MVZ.A,MVZ.B,PCP.B,PGR,PIV.B,PTN,RFM,RST,RST.B,SVS,TDV.D,TPG
2025-11-18,8195.0,380.0,165.0,139.99,38.5,229.0,97.0,2550.0,120.0,14.01,470.0,149.93,16.5,78.0,1400.0,1300.0,110.0,46.0,14000.0,175.0,14.0,71.0,67.0,77.0,140.0,7.5
2025-11-19,7000.0,378.0,159.4,135.0,38.0,233.0,90.0,2550.0,113.99,16.48,465.0,150.0,16.0,79.0,1419.99,1419.99,104.99,47.95,14000.0,170.0,,72.0,66.9,77.0,141.0,7.0
2025-11-20,7000.0,409.0,158.9,132.0,37.0,224.99,84.9,2550.0,113.0,16.99,470.0,160.0,15.8,63.0,1419.97,1419.89,101.99,46.99,13500.0,162.0,,71.99,61.1,76.99,136.0,7.5
2025-11-21,7000.0,400.0,158.75,110.0,38.0,225.0,72.0,2550.0,110.0,16.89,444.0,150.0,15.95,78.18,1414.98,1399.98,93.99,46.97,13100.0,156.0,71.9,65.0,74.99,130.0,6.9,
2025-11-25,0.0,410.0,160.0,149.0,37.5,221.99,73.0,2400.0,107.0,15.0,436.0,148.94,16.0,78.79,1390.0,1399.0,90.0,46.99,13101.0,175.0,71.5,62.75,78.9,125.0,6.8,7200.6,
2025-11-26,0.0,410.0,149.99,141.0,32.0,220.0,79.0,2600.0,89.3,14.79,428.99,150.0,15.84,78.73,1325.0,1384.0,91.0,46.98,13450.0,155.08,69.0,63.85,76.98,125.0,7.0,8200.0,7200.6
2025-11-27,8200.0,400.0,150.0,143.0,36.0,221.0,74.0,2600.0,107.0,15.0,150.0,15.85,77.98,1349.99,1382.39,104.99,46.3,13495.0,165.0,69.0,63.79,77.0,125.0,6.65,,
2025-11-28,9000.0,400.0,170.0,140.0,36.5,216.99,80.0,2600.0,107.99,16.14,419.99,148.95,15.5,77.27,1344.99,1381.99,99.0,48.5,13500.0,160.0,68.75,63.8,77.0,127.9,6.65,
